epoch,training_loss,validation_loss
1,0.094184296,0.23667059
2,0.074809818,0.155049686
3,0.03299921,0.096440834
4,0.012290397,0.051824157
5,0.007040138,0.031921616
6,0.00583104,0.0214815
7,0.002753101,0.01880996
8,0.001586783,0.01031363
9,0.001537145,0.007121678
10,0.001511094,0.005608172
11,0.00149852,0.004064099
12,0.001461028,0.002925394
13,0.001367208,0.002712982
14,0.001396921,0.002223255
15,0.002358478,0.00231972
16,0.002290349,0.002861771
17,0.0019496,0.00259744
18,0.001732268,0.002513707
19,0.001829487,0.002824265
20,0.001705339,0.002854945
21,0.001640191,0.002462236
22,0.001590052,0.0022407269
23,0.00132383,0.0021432078
24,0.001454127,0.0024440033
25,0.001671987,0.0017491664
26,0.001782393,0.0019097163
27,0.001931038,0.0022284758
28,0.001808228,0.001925602
29,0.001364694,0.001645471
30,0.001388066,0.001637941
31,0.001324946,0.001593526
32,0.00136695,0.001643366
33,0.001327264,0.0015328239
34,0.001362732,0.001619274
35,0.001302646,0.001633066
36,0.00128514,0.001756655
37,0.001246547,0.001886135
38,0.001271628,0.0016781878
39,0.001290591,0.001598178
40,0.00129551,0.001703377
41,0.001269584,0.001850371
42,0.001312306,0.002467618
43,0.001298356,0.002665417
44,0.001258938,0.001951024
45,0.002106379,0.0019969457
46,0.001536327,0.00191079237
47,0.001365515,0.00175999413
48,0.001353032,0.00184008265
49,0.001360717,0.001719729
50,0.001318864,0.0018672
