epoch,training_loss,validation_loss
1,0.092954277,0.293965013
2,0.050380301,0.204083356
3,0.035256819,0.138141157
4,0.020168012,0.103029721
5,0.017857604,0.05355867
6,0.013733976,0.021199432
7,0.007579894,0.015357117
8,0.005522915,0.010849642
9,0.003472153,0.009449285
10,0.003460124,0.007476028
11,0.002401326,0.005447003
12,0.002357409,0.004007673
13,0.002042889,0.003835267
14,0.00213365,0.003019773
15,0.002022392,0.002734832
16,0.00213877,0.003234268
17,0.001943184,0.003055068
18,0.002296244,0.002564481
19,0.002300665,0.003131693
20,0.002564259,0.002747526
21,0.002083504,0.002329884
22,0.001931255,0.002925082
23,0.001900101,0.002824905
24,0.00172661,0.00253387
25,0.001811907,0.002662784
26,0.001780613,0.002838856
27,0.002160708,0.00297119
28,0.002319247,0.002562525
29,0.001909791,0.00288705
30,0.001752238,0.003399893
31,0.002064259,0.002739422
32,0.00217847,0.003382703
33,0.002006247,0.003598421
34,0.002036001,0.002522427
35,0.002137263,0.002172172
36,0.001736726,0.002271273
37,0.001632829,0.002138272
38,0.002132611,0.002238174
39,0.001521321,0.002237214
40,0.001632871,0.002138173
41,0.001532872,0.001921383
42,0.001621372,0.002023822
43,0.001732551,0.002271337
44,0.001721382,0.001833174
45,0.001821327,0.001921737
46,0.001937219,0.002032817
47,0.002232847,0.002232483
48,0.002137327,0.002232472
49,0.002362642,0.002123789
50,0.002032838,0.002034656
