epoch,training_loss,validation_loss
1,0.039015055,0.311845665
2,0.024598907,0.16621749
3,0.02004816,0.122094879
4,0.01575465,0.105283508
5,0.012091423,0.080450787
6,0.005831169,0.050464375
7,0.004731629,0.024213094
8,0.003573978,0.01052036
9,0.003352331,0.009344581
10,0.003423751,0.008831339
11,0.002959172,0.008449317
12,0.00266617,0.007452397
13,0.00232521,0.007377763
14,0.00278101,0.006365603
15,0.002614055,0.003832239
16,0.00234294,0.003975936
17,0.003304997,0.002547099
18,0.003324539,0.003339251
19,0.002351453,0.003611891
20,0.00210919,0.002808734
21,0.003259006,0.003172823
22,0.003329784,0.003497021
23,0.004330749,0.003620691
24,0.002273055,0.003642724
25,0.002198804,0.003385221
26,0.003348741,0.003505037
27,0.003229239,0.003134153
28,0.00342107,0.00326466
29,0.00328355,0.00036068
30,0.001220485,0.004241645
31,0.001269523,0.003547532
32,0.001348444,0.004494459
33,0.001284223,0.003658536
34,0.001240836,0.00386956
35,0.001497278,0.00422232
36,0.001486193,0.004408578
37,0.001390601,0.00436463
38,0.001421993,0.003841133
39,0.001366512,0.003585821
40,0.001356984,0.004089406
41,0.001320673,0.003687413
42,0.0013569,0.0042299
43,0.001318086,0.004149889
44,0.001349102,0.004448885
45,0.001301589,0.004336313
46,0.001332889,0.003783204
47,0.001309705,0.003991962
48,0.001284922,0.004032967
49,0.001346299,0.004167224
50,0.001300267,0.003599687
