epoch,training_loss,validation_loss
1,0.12915803,0.272368741
2,0.080356443,0.200490532
3,0.072247013,0.155123782
4,0.061892723,0.101139184
5,0.055643143,0.074564621
6,0.04015739,0.05394697
7,0.031428353,0.038615394
8,0.021438555,0.012781509
9,0.020024739,0.009235406
10,0.011400545,0.007403347
11,0.009396409,0.006254113
12,0.007336634,0.006061223
13,0.006398027,0.005000964
14,0.00521935,0.004431065
15,0.003334204,0.003021218
16,0.001329234,0.002514279
17,0.001316837,0.003511648
18,0.001252562,0.001951479
19,0.0020195,0.002855282
20,0.001748506,0.003107729
21,0.001756931,0.002932038
22,0.001634099,0.002958492
23,0.001519504,0.003426977
24,0.001501488,0.002575202
25,0.001499562,0.002665858
26,0.00138542,0.002498905
27,0.001367523,0.002805243
28,0.00135949,0.002404208
29,0.001346146,0.002645452
30,0.001446623,0.00260813
31,0.001316237,0.002771234
32,0.001362154,0.002830128
33,0.001275383,0.002703175
34,0.001359632,0.002711974
35,0.001227071,0.002435182
36,0.001298629,0.002535536
37,0.001323426,0.002995243
38,0.001382104,0.002786098
39,0.001301279,0.00235215
40,0.001320078,0.001935876
41,0.001319962,0.003454929
42,0.00129005,0.00273919
43,0.00125354,0.002510842
44,0.001266652,0.002210077
45,0.001278037,0.002006268
46,0.001260493,0.002207825
47,0.001265512,0.002465775
48,0.001277322,0.00218565
49,0.001301733,0.002106322
50,0.001228675,0.00207957
