epoch,training_loss,validation_loss
1,0.0940944982,0.239705079
2,0.0704650621,0.208475242
3,0.043014268,0.156153952
4,0.022349546,0.093876241
5,0.022007419,0.02261196
6,0.015792,0.017470486
7,0.009560245,0.011364838
8,0.006490001,0.009176848
9,0.004475523,0.0084544134
10,0.002446729,0.007699922
11,0.001815372,0.005130432
12,0.001708595,0.00309301
13,0.0013264,0.002990918
14,0.001330512,0.003119942
15,0.001351938,0.003200323
16,0.001359429,0.002740454
17,0.001341771,0.002553593
18,0.001286805,0.00221399
19,0.001252053,0.002545762
20,0.001296288,0.002466836
21,0.001229338,0.002851247
22,0.001294729,0.002371476
23,0.001292469,0.002187659
24,0.001391445,0.002218365
25,0.001298303,0.00221633
26,0.001301073,0.002026074
27,0.001336378,0.002019925
28,0.001302088,0.00188026
29,0.001325968,0.002001927
30,0.001322848,0.001947609
31,0.001272932,0.00199296
32,0.001241526,0.001972892
33,0.001331648,0.00172492
34,0.001247513,0.002376124
35,0.001285058,0.00204366458
36,0.001258173,0.002348267
37,0.001270832,0.002264612
38,0.00129622,0.002042842
39,0.001283842,0.002103127
40,0.001268358,0.002297535
41,0.001325598,0.002047624
42,0.001270037,0.001917507
43,0.001319826,0.001854127
44,0.001289611,0.001758684
45,0.001198279,0.001694515
46,0.001265527,0.001525638
47,0.001292482,0.00160651
48,0.001295992,0.001622106
49,0.001295993,0.001765943
50,0.001313707,0.001974882
