epoch,training_loss,validation_loss
1,0.129038519,0.221123344
2,0.10338347,0.19103361
3,0.012472578,0.174150239
4,0.009045625,0.149745032
5,0.006767889,0.081568216
6,0.004654085,0.055027049
7,0.003528074,0.021661918
8,0.002418627,0.009977021
9,0.001463623,0.009092589
10,0.001337365,0.008373744
11,0.001405891,0.007316634
12,0.001344709,0.006218053
13,0.001287221,0.005005033
14,0.001276055,0.004079842
15,0.0013144,0.003739621
16,0.00129434,0.003104371
17,0.001264416,0.003213058
18,0.001276553,0.003137227
19,0.001467993,0.002636155
20,0.001368395,0.00283874
21,0.001407967,0.00272901
22,0.001403017,0.003597799
23,0.001339734,0.002585659
24,0.001392636,0.002922412
25,0.001347537,0.002780475
26,0.001370012,0.002763652
27,0.001365611,0.002681805
28,0.001330211,0.00281554
29,0.001281204,0.003574133
30,0.00131742,0.002825486
31,0.001324653,0.00283596
32,0.001264783,0.002931402
33,0.001282778,0.002721904
34,0.001275116,0.002768414
35,0.001364516,0.002821368
36,0.00128799,0.003068672
37,0.001296226,0.003218009
38,0.00121198,0.002904154
39,0.00135921,0.003493663
40,0.001424377,0.003402133
41,0.001226625,0.002821373
42,0.001524665,0.002921328
43,0.001021238,0.003023281
44,0.001323433,0.002932133
45,0.001311138,0.003023283
46,0.001431575,0.00334364
47,0.001342463,0.003243254
48,0.001298325,0.002832138
49,0.001232747,0.002733478
50,0.002217217,0.002823372
